"Statistic","CensusYear","Alphabetical List of Towns","UNIT","VALUE"
"Birthplace - Outside Ireland (Number)","2016","Dromineer, North Tipperary","Number","10"
"Birthplace - Outside Ireland (Number)","2016","Dromiskin, Louth","Number","191"
"Birthplace - Outside Ireland (Number)","2016","Drommahane, Cork","Number","90"
"Birthplace - Outside Ireland (Number)","2016","Dromore West, Sligo","Number","25"
"Birthplace - Outside Ireland (Number)","2016","Drumcollogher, Limerick","Number","38"
"Birthplace - Outside Ireland (Number)","2016","Drumconrath, Meath","Number","33"
"Birthplace - Outside Ireland (Number)","2016","Drumkeen, Donegal","Number","22"
"Birthplace - Outside Ireland (Number)","2016","Drumkeeran, Leitrim","Number","26"
"Birthplace - Outside Ireland (Number)","2016","Drumlish, Longford","Number","250"
"Birthplace - Outside Ireland (Number)","2016","Drumod, Leitrim","Number","139"
"Birthplace - Outside Ireland (Number)","2016","Drumshanbo, Leitrim","Number","220"
"Birthplace - Outside Ireland (Number)","2016","Drumsna, Leitrim","Number","39"
"Birthplace - Outside Ireland (Number)","2016","Duagh, Kerry","Number","36"
"Birthplace - Outside Ireland (Number)","2016","Dublin city and suburbs, Dublin","Number","262948"
"Birthplace - Outside Ireland (Number)","2016","Duleek, Meath","Number","579"
"Birthplace - Outside Ireland (Number)","2016","Dunboyne, Meath","Number","1290"
"Birthplace - Outside Ireland (Number)","2016","Duncannon, Wexford","Number","45"
"Birthplace - Outside Ireland (Number)","2016","Duncormick, Wexford","Number","14"
"Birthplace - Outside Ireland (Number)","2016","Dundalk, Louth","Number","9501"
"Birthplace - Outside Ireland (Number)","2016","Dunderrow, Cork","Number","35"
"Birthplace - Outside Ireland (Number)","2016","Dunderry, Meath","Number","15"
"Birthplace - Outside Ireland (Number)","2016","Dundrum, South Tipperary","Number","32"
"Birthplace - Outside Ireland (Number)","2016","Dunfanaghy, Donegal","Number","95"
"Birthplace - Outside Ireland (Number)","2016","Dungarvan, Waterford","Number","1733"
"Birthplace - Outside Ireland (Number)","2016","Dunhill, Waterford","Number","11"
"Birthplace - Outside Ireland (Number)","2016","Dunkineely, Donegal","Number","32"
"Birthplace - Outside Ireland (Number)","2016","Dunlavin, Wicklow","Number","69"
"Birthplace - Outside Ireland (Number)","2016","Dunleer, Louth","Number","268"
"Birthplace - Outside Ireland (Number)","2016","Dunmanway, Cork","Number","234"
"Birthplace - Outside Ireland (Number)","2016","Dunmore, Galway","Number","87"
"Birthplace - Outside Ireland (Number)","2016","Dunmore East, Waterford","Number","305"
"Birthplace - Outside Ireland (Number)","2016","Dunshaughlin, Meath","Number","681"
"Birthplace - Outside Ireland (Number)","2016","Durrow, Laois","Number","135"
"Birthplace - Outside Ireland (Number)","2016","Durrus, Cork","Number","70"
"Birthplace - Outside Ireland (Number)","2016","Easky, Sligo","Number","45"
"Birthplace - Outside Ireland (Number)","2016","Edenderry, Offaly","Number","1741"
"Birthplace - Outside Ireland (Number)","2016","Elphin, Roscommon","Number","98"
"Birthplace - Outside Ireland (Number)","2016","Emly, South Tipperary","Number","25"
"Birthplace - Outside Ireland (Number)","2016","Emo, Laois","Number","22"
"Birthplace - Outside Ireland (Number)","2016","Emyvale, Monaghan","Number","249"
"Birthplace - Outside Ireland (Number)","2016","Enfield, Meath","Number","577"
"Birthplace - Outside Ireland (Number)","2016","Ennis, Clare","Number","5280"
"Birthplace - Outside Ireland (Number)","2016","Enniscorthy, Wexford","Number","2033"
"Birthplace - Outside Ireland (Number)","2016","Enniskerry, Wicklow","Number","316"
"Birthplace - Outside Ireland (Number)","2016","Ennistymon, Clare","Number","247"
"Birthplace - Outside Ireland (Number)","2016","Erril, Laois","Number","17"
"Birthplace - Outside Ireland (Number)","2016","Eyrecourt, Galway","Number","39"
"Birthplace - Outside Ireland (Number)","2016","Fahan, Donegal","Number","234"
"Birthplace - Outside Ireland (Number)","2016","Farran, Cork","Number","23"
"Birthplace - Outside Ireland (Number)","2016","Feakle, Clare","Number","8"
"Birthplace - Outside Ireland (Number)","2016","Fedamore, Limerick","Number","26"
"Birthplace - Outside Ireland (Number)","2016","Fenit, Kerry","Number","56"
"Birthplace - Outside Ireland (Number)","2016","Fennagh, Carlow","Number","39"
"Birthplace - Outside Ireland (Number)","2016","Ferbane, Offaly","Number","101"
"Birthplace - Outside Ireland (Number)","2016","Fermoy, Cork","Number","1670"
"Birthplace - Outside Ireland (Number)","2016","Ferns, Wexford","Number","166"
"Birthplace - Outside Ireland (Number)","2016","Fethard, South Tipperary","Number","173"
"Birthplace - Outside Ireland (Number)","2016","Fethard-on-Sea, Wexford","Number","33"
"Birthplace - Outside Ireland (Number)","2016","Fiddown, Kilkenny","Number","65"
"Birthplace - Outside Ireland (Number)","2016","Fieries, Kerry","Number","93"
"Birthplace - Outside Ireland (Number)","2016","Fountainstown, Cork","Number","159"
"Birthplace - Outside Ireland (Number)","2016","Foxford, Mayo","Number","290"
"Birthplace - Outside Ireland (Number)","2016","Foynes, Limerick","Number","48"
"Birthplace - Outside Ireland (Number)","2016","Freemount, Cork","Number","10"
"Birthplace - Outside Ireland (Number)","2016","Frenchpark, Roscommon","Number","90"
"Birthplace - Outside Ireland (Number)","2016","Freshford, Kilkenny","Number","79"
"Birthplace - Outside Ireland (Number)","2016","Galbally, Limerick","Number","24"
"Birthplace - Outside Ireland (Number)","2016","Galway City and Suburbs, Galway","Number","22423"
"Birthplace - Outside Ireland (Number)","2016","Garristown, Fingal","Number","148"
"Birthplace - Outside Ireland (Number)","2016","Geashill, Offaly","Number","19"
"Birthplace - Outside Ireland (Number)","2016","Glanworth, Cork","Number","53"
"Birthplace - Outside Ireland (Number)","2016","Glassan, Westmeath","Number","34"
"Birthplace - Outside Ireland (Number)","2016","Glasslough, Monaghan","Number","200"
"Birthplace - Outside Ireland (Number)","2016","Glen, Limerick","Number","44"
"Birthplace - Outside Ireland (Number)","2016","Glenamaddy, Galway","Number","85"
"Birthplace - Outside Ireland (Number)","2016","Gleann Cholm Cille, Donegal","Number","23"
"Birthplace - Outside Ireland (Number)","2016","Glenbeigh, Kerry","Number","59"
"Birthplace - Outside Ireland (Number)","2016","Glencullen, Dún Laoghaire- Rathdown","Number","30"
"Birthplace - Outside Ireland (Number)","2016","Glenealy, Wicklow","Number","105"
"Birthplace - Outside Ireland (Number)","2016","Gleneely, Donegal","Number","59"
"Birthplace - Outside Ireland (Number)","2016","Glengarriff, Cork","Number","49"
"Birthplace - Outside Ireland (Number)","2016","Glenties, Donegal","Number","104"
"Birthplace - Outside Ireland (Number)","2016","Glenville, Cork","Number","25"
"Birthplace - Outside Ireland (Number)","2016","Glin, Limerick","Number","102"
"Birthplace - Outside Ireland (Number)","2016","Gneevgullia, Kerry","Number","47"
"Birthplace - Outside Ireland (Number)","2016","Gob an Choire, Mayo","Number","46"
"Birthplace - Outside Ireland (Number)","2016","Golden, South Tipperary","Number","40"
"Birthplace - Outside Ireland (Number)","2016","Goresbridge, Kilkenny","Number","21"
"Birthplace - Outside Ireland (Number)","2016","Gorey, Wexford","Number","1988"
"Birthplace - Outside Ireland (Number)","2016","Gormanston, Meath","Number","37"
"Birthplace - Outside Ireland (Number)","2016","Gort, Galway","Number","990"
"Birthplace - Outside Ireland (Number)","2016","Gort an Choirce, Donegal","Number","44"
"Birthplace - Outside Ireland (Number)","2016","Gortnahoo, South Tipperary","Number","20"
"Birthplace - Outside Ireland (Number)","2016","Gowran, Kilkenny","Number","86"
"Birthplace - Outside Ireland (Number)","2016","Grahormac, Wexford","Number","83"
"Birthplace - Outside Ireland (Number)","2016","Graiguenamanagh-Tinnahinch, Carlow and Kilkenny","Number","145"
"Birthplace - Outside Ireland (Number)","2016","Granard, Longford","Number","251"
"Birthplace - Outside Ireland (Number)","2016","Grange, Sligo","Number","93"
"Birthplace - Outside Ireland (Number)","2016","Grangemore, Kildare","Number","19"
"Birthplace - Outside Ireland (Number)","2016","Greencastle, Donegal","Number","243"
"Birthplace - Outside Ireland (Number)","2016","Grenagh, Cork","Number","44"
"Birthplace - Outside Ireland (Number)","2016","Greystones-Delgany, Wicklow","Number","3300"
"Birthplace - Outside Ireland (Number)","2016","Gurteen, Sligo","Number","74"
"Birthplace - Outside Ireland (Number)","2016","Hacketstown, Carlow","Number","60"
"Birthplace - Outside Ireland (Number)","2016","Halfway, Cork","Number","18"
"Birthplace - Outside Ireland (Number)","2016","Headford, Galway","Number","179"
"Birthplace - Outside Ireland (Number)","2016","Holycross, North Tipperary and South Tipperary","Number","107"
"Birthplace - Outside Ireland (Number)","2016","Hospital, Limerick","Number","65"
"Birthplace - Outside Ireland (Number)","2016","Inagh, Clare","Number","30"
"Birthplace - Outside Ireland (Number)","2016","Inchigeelagh, Cork","Number","23"
"Birthplace - Outside Ireland (Number)","2016","Inistioge, Kilkenny","Number","42"
"Birthplace - Outside Ireland (Number)","2016","Inniscrone, Sligo","Number","236"
"Birthplace - Outside Ireland (Number)","2016","Innishannon, Cork","Number","104"
"Birthplace - Outside Ireland (Number)","2016","Inniskeen, Monaghan","Number","31"
"Birthplace - Outside Ireland (Number)","2016","Irishtown, Mayo","Number","14"
"Birthplace - Outside Ireland (Number)","2016","Jenkinstown, Louth","Number","68"
"Birthplace - Outside Ireland (Number)","2016","Johnstown, Kildare","Number","118"
"Birthplace - Outside Ireland (Number)","2016","Johnstown, Kilkenny","Number","30"
"Birthplace - Outside Ireland (Number)","2016","Johnstownbridge, Kildare","Number","110"
"Birthplace - Outside Ireland (Number)","2016","Julianstown, Meath","Number","61"
"Birthplace - Outside Ireland (Number)","2016","Kanturk, Cork","Number","450"
"Birthplace - Outside Ireland (Number)","2016","Keadew, Roscommon","Number","21"
"Birthplace - Outside Ireland (Number)","2016","Keel-Dooagh, Mayo","Number","124"
"Birthplace - Outside Ireland (Number)","2016","Keenagh, Longford","Number","84"
"Birthplace - Outside Ireland (Number)","2016","Kells, Kilkenny","Number","39"
"Birthplace - Outside Ireland (Number)","2016","Kenmare, Kerry","Number","738"
"Birthplace - Outside Ireland (Number)","2016","Kentstown, Meath","Number","107"
"Birthplace - Outside Ireland (Number)","2016","Kernanstown, Carlow","Number","21"
"Birthplace - Outside Ireland (Number)","2016","Keshcarrigan, Leitrim","Number","35"
"Birthplace - Outside Ireland (Number)","2016","Kilbeggan, Westmeath","Number","356"
"Birthplace - Outside Ireland (Number)","2016","Kilberry, Kildare","Number","14"
"Birthplace - Outside Ireland (Number)","2016","Kilbrin, Cork","Number","14"
"Birthplace - Outside Ireland (Number)","2016","Kilbrittain, Cork","Number","44"
"Birthplace - Outside Ireland (Number)","2016","Kilcloon, Meath","Number","26"
"Birthplace - Outside Ireland (Number)","2016","Kilcock, Kildare","Number","1339"
"Birthplace - Outside Ireland (Number)","2016","Kilcolgan, Galway","Number","20"
"Birthplace - Outside Ireland (Number)","2016","Kilcoole, Wicklow","Number","585"
"Birthplace - Outside Ireland (Number)","2016","Kilcormac (Frankford), Offaly","Number","85"
"Birthplace - Outside Ireland (Number)","2016","Kilcrohane, Cork","Number","42"
"Birthplace - Outside Ireland (Number)","2016","Kilcullen, Kildare","Number","547"
"Birthplace - Outside Ireland (Number)","2016","Kilcummin, Kerry","Number","56"
"Birthplace - Outside Ireland (Number)","2016","Kildalkey, Meath","Number","103"
"Birthplace - Outside Ireland (Number)","2016","Kildangan, Kildare","Number","52"
"Birthplace - Outside Ireland (Number)","2016","Kildare, Kildare","Number","1554"
"Birthplace - Outside Ireland (Number)","2016","Kildavin, Carlow","Number","24"
"Birthplace - Outside Ireland (Number)","2016","Kildimo, Limerick","Number","36"
"Birthplace - Outside Ireland (Number)","2016","Kildorrery, Cork","Number","51"
"Birthplace - Outside Ireland (Number)","2016","Kildrum, Donegal","Number","364"
"Birthplace - Outside Ireland (Number)","2016","Kildysart, Clare","Number","34"
"Birthplace - Outside Ireland (Number)","2016","Kilfenora, Clare","Number","24"
"Birthplace - Outside Ireland (Number)","2016","Kilfinane, Limerick","Number","82"
"Birthplace - Outside Ireland (Number)","2016","Kilflynn, Kerry","Number","26"
"Birthplace - Outside Ireland (Number)","2016","Kilgarvan, Kerry","Number","22"
"Birthplace - Outside Ireland (Number)","2016","Kilkee, Clare","Number","139"
"Birthplace - Outside Ireland (Number)","2016","Kilkelly, Mayo","Number","79"
"Birthplace - Outside Ireland (Number)","2016","Kilkenny, Kilkenny","Number","5846"
"Birthplace - Outside Ireland (Number)","2016","Kilkishen, Clare","Number","77"
"Birthplace - Outside Ireland (Number)","2016","Kill, Kildare","Number","337"
"Birthplace - Outside Ireland (Number)","2016","Kill, Waterford","Number","22"
"Birthplace - Outside Ireland (Number)","2016","Killala, Mayo","Number","100"
"Birthplace - Outside Ireland (Number)","2016","Killaloe, Clare","Number","284"
"Birthplace - Outside Ireland (Number)","2016","Killarney, Kerry","Number","4841"
"Birthplace - Outside Ireland (Number)","2016","Killashee, Longford","Number","45"
"Birthplace - Outside Ireland (Number)","2016","Killavullen, Cork","Number","31"
"Birthplace - Outside Ireland (Number)","2016","Killeagh, Cork","Number","137"
"Birthplace - Outside Ireland (Number)","2016","Killeigh, Offaly","Number","12"
"Birthplace - Outside Ireland (Number)","2016","Killenard, Laois","Number","123"
"Birthplace - Outside Ireland (Number)","2016","Killenaule, South Tipperary","Number","59"
"Birthplace - Outside Ireland (Number)","2016","Killeshandra, Cavan","Number","80"
"Birthplace - Outside Ireland (Number)","2016","Killimor, Galway","Number","34"
"Birthplace - Outside Ireland (Number)","2016","Killinierin, Wexford","Number","39"
"Birthplace - Outside Ireland (Number)","2016","Killorglin, Kerry","Number","585"
"Birthplace - Outside Ireland (Number)","2016","Killucan-Rathwire, Westmeath","Number","192"
"Birthplace - Outside Ireland (Number)","2016","Killumney, Cork","Number","128"
"Birthplace - Outside Ireland (Number)","2016","Killurin, Offaly","Number","16"
"Birthplace - Outside Ireland (Number)","2016","Killurin, Wexford","Number","18"
"Birthplace - Outside Ireland (Number)","2016","Killybegs, Donegal","Number","168"
"Birthplace - Outside Ireland (Number)","2016","Killygordan, Donegal","Number","135"
"Birthplace - Outside Ireland (Number)","2016","Kilmacanogue, Wicklow","Number","136"
"Birthplace - Outside Ireland (Number)","2016","Kilmacow, Kilkenny","Number","57"
"Birthplace - Outside Ireland (Number)","2016","Kilmacrennan, Donegal","Number","138"
"Birthplace - Outside Ireland (Number)","2016","Kilmacthomas, Waterford","Number","71"
"Birthplace - Outside Ireland (Number)","2016","Kilmaine, Mayo","Number","20"
"Birthplace - Outside Ireland (Number)","2016","Kilmainham, Meath","Number","28"
"Birthplace - Outside Ireland (Number)","2016","Kilmaley, Clare","Number","34"
"Birthplace - Outside Ireland (Number)","2016","Kilmallock, Limerick","Number","228"
"Birthplace - Outside Ireland (Number)","2016","Kilmead, Kildare","Number","21"
"Birthplace - Outside Ireland (Number)","2016","Kilmeaden, Waterford","Number","15"
"Birthplace - Outside Ireland (Number)","2016","Kilmeage, Kildare","Number","117"
"Birthplace - Outside Ireland (Number)","2016","Kilmessan, Meath","Number","84"
"Birthplace - Outside Ireland (Number)","2016","Kilmihill, Clare","Number","44"
"Birthplace - Outside Ireland (Number)","2016","Kilmoganny, Kilkenny","Number","29"
"Birthplace - Outside Ireland (Number)","2016","Kilmore, Wexford","Number","17"
"Birthplace - Outside Ireland (Number)","2016","Kilmore Quay, Wexford","Number","58"
"Birthplace - Outside Ireland (Number)","2016","Kilmuckeridge (Ford), Wexford","Number","110"
"Birthplace - Outside Ireland (Number)","2016","Kilmurry, Clare","Number","42"
"Birthplace - Outside Ireland (Number)","2016","Kilmyshall, Wexford","Number","22"
"Birthplace - Outside Ireland (Number)","2016","Kilnaleck, Cavan","Number","139"
"Birthplace - Outside Ireland (Number)","2016","Kilpedder, Wicklow","Number","137"
"Birthplace - Outside Ireland (Number)","2016","Kilrane, Wexford","Number","112"
"Birthplace - Outside Ireland (Number)","2016","Kilrush, Clare","Number","451"
"Birthplace - Outside Ireland (Number)","2016","Kilsheelan, South Tipperary","Number","66"
"Birthplace - Outside Ireland (Number)","2016","Kilteel, Kildare","Number","19"
"Birthplace - Outside Ireland (Number)","2016","Kilteely, Limerick","Number","12"
"Birthplace - Outside Ireland (Number)","2016","Kiltimagh, Mayo","Number","222"
"Birthplace - Outside Ireland (Number)","2016","Kilworth, Cork","Number","138"
"Birthplace - Outside Ireland (Number)","2016","Kingscourt, Cavan","Number","489"
"Birthplace - Outside Ireland (Number)","2016","Kinlough, Leitrim","Number","250"
"Birthplace - Outside Ireland (Number)","2016","Kinnegad, Westmeath","Number","480"
"Birthplace - Outside Ireland (Number)","2016","Kinnitty, Offaly","Number","35"
"Birthplace - Outside Ireland (Number)","2016","Kinsale, Cork","Number","1512"
"Birthplace - Outside Ireland (Number)","2016","Kinsaley, Fingal","Number","47"
"Birthplace - Outside Ireland (Number)","2016","Kinsealy-Drinan, Fingal","Number","1704"
"Birthplace - Outside Ireland (Number)","2016","Kinvara, Galway","Number","176"
"Birthplace - Outside Ireland (Number)","2016","Knightstown, Kerry","Number","27"
"Birthplace - Outside Ireland (Number)","2016","Knock, Mayo","Number","222"
"Birthplace - Outside Ireland (Number)","2016","Knockananna, Wicklow","Number","6"
"Birthplace - Outside Ireland (Number)","2016","Knockbridge, Louth","Number","125"
"Birthplace - Outside Ireland (Number)","2016","Knockcroghery, Roscommon","Number","42"
"Birthplace - Outside Ireland (Number)","2016","Knockglass, Cork","Number","102"
"Birthplace - Outside Ireland (Number)","2016","Knocklong, Limerick","Number","30"
"Birthplace - Outside Ireland (Number)","2016","Knocknagree, Cork","Number","9"
"Birthplace - Outside Ireland (Number)","2016","Knockraha, Cork","Number","33"
"Birthplace - Outside Ireland (Number)","2016","Knocktopher, Kilkenny","Number","18"
"Birthplace - Outside Ireland (Number)","2016","Lackaghbeg, Galway","Number","85"
"Birthplace - Outside Ireland (Number)","2016","Ladytown, Kildare","Number","42"
"Birthplace - Outside Ireland (Number)","2016","Laghy, Donegal","Number","26"
"Birthplace - Outside Ireland (Number)","2016","Lahardane, Mayo","Number","12"
"Birthplace - Outside Ireland (Number)","2016","Lahinch, Clare","Number","119"
"Birthplace - Outside Ireland (Number)","2016","Lanesborough-Ballyleague, Longford and Roscommon","Number","356"
"Birthplace - Outside Ireland (Number)","2016","Laragh, Wicklow","Number","60"
"Birthplace - Outside Ireland (Number)","2016","Lawcus-Stoneyford, Kilkenny","Number","40"
"Birthplace - Outside Ireland (Number)","2016","Laytown-Bettystown-Mornington-Donacarney, Meath","Number","2060"
"Birthplace - Outside Ireland (Number)","2016","Leap, Cork","Number","64"
"Birthplace - Outside Ireland (Number)","2016","Legan, Longford","Number","25"
"Birthplace - Outside Ireland (Number)","2016","Leighlinbridge, Carlow","Number","144"
"Birthplace - Outside Ireland (Number)","2016","Leitrim, Leitrim","Number","121"
"Birthplace - Outside Ireland (Number)","2016","Leixlip, Kildare","Number","2680"
"Birthplace - Outside Ireland (Number)","2016","Lemybrien, Waterford","Number","10"
"Birthplace - Outside Ireland (Number)","2016","Letterkenny, Donegal","Number","5443"
"Birthplace - Outside Ireland (Number)","2016","Lifford, Donegal","Number","393"
"Birthplace - Outside Ireland (Number)","2016","Limerick city and suburbs, Limerick","Number","18256"
"Birthplace - Outside Ireland (Number)","2016","Liscannor, Clare","Number","24"
"Birthplace - Outside Ireland (Number)","2016","Liscarroll, Cork","Number","21"
"Birthplace - Outside Ireland (Number)","2016","Lisdoonvarna, Clare","Number","323"
"Birthplace - Outside Ireland (Number)","2016","Lismore, Waterford","Number","223"
"Birthplace - Outside Ireland (Number)","2016","Lisronagh, South Tipperary","Number","25"
"Birthplace - Outside Ireland (Number)","2016","Lissycasey, Clare","Number","26"
"Birthplace - Outside Ireland (Number)","2016","Listowel, Kerry","Number","847"
"Birthplace - Outside Ireland (Number)","2016","Littleton, North Tipperary","Number","32"
"Birthplace - Outside Ireland (Number)","2016","Lixnaw, Kerry","Number","127"
"Birthplace - Outside Ireland (Number)","2016","Loch an Iúir, Donegal","Number","90"
"Birthplace - Outside Ireland (Number)","2016","Longford, Longford","Number","3259"
"Birthplace - Outside Ireland (Number)","2016","Longwood, Meath","Number","207"
"Birthplace - Outside Ireland (Number)","2016","Lordship, Louth","Number","98"
"Birthplace - Outside Ireland (Number)","2016","Loughglinn, Roscommon","Number","31"
"Birthplace - Outside Ireland (Number)","2016","Loughrea, Galway","Number","1277"
"Birthplace - Outside Ireland (Number)","2016","Loughshinny, Fingal","Number","55"
"Birthplace - Outside Ireland (Number)","2016","Lough Gowna, Cavan","Number","28"
"Birthplace - Outside Ireland (Number)","2016","Louisburgh, Mayo","Number","121"
"Birthplace - Outside Ireland (Number)","2016","Louth, Louth","Number","97"
"Birthplace - Outside Ireland (Number)","2016","Lusk, Fingal","Number","1590"
"Birthplace - Outside Ireland (Number)","2016","Lyre, Cork","Number","25"
"Birthplace - Outside Ireland (Number)","2016","Macroom, Cork","Number","753"
"Birthplace - Outside Ireland (Number)","2016","Maddenstown, Kildare","Number","10"
"Birthplace - Outside Ireland (Number)","2016","Maigh Cuilinn, Galway","Number","362"
"Birthplace - Outside Ireland (Number)","2016","Malahide, Fingal","Number","2941"
"Birthplace - Outside Ireland (Number)","2016","Malin, Donegal","Number","17"
"Birthplace - Outside Ireland (Number)","2016","Mallow, Cork","Number","2546"
"Birthplace - Outside Ireland (Number)","2016","Manorcunningham, Donegal","Number","138"
"Birthplace - Outside Ireland (Number)","2016","Manorhamilton, Leitrim","Number","353"
"Birthplace - Outside Ireland (Number)","2016","Manor Kilbride, Wicklow","Number","28"
"Birthplace - Outside Ireland (Number)","2016","Maynooth, Kildare","Number","3757"
"Birthplace - Outside Ireland (Number)","2016","Meathas Truim (Edgeworthstown), Longford","Number","774"
"Birthplace - Outside Ireland (Number)","2016","Midleton, Cork","Number","2906"
"Birthplace - Outside Ireland (Number)","2016","Milford, Cork","Number","9"
"Birthplace - Outside Ireland (Number)","2016","Milford, Donegal","Number","194"
"Birthplace - Outside Ireland (Number)","2016","Millstreet, Cork","Number","404"
"Birthplace - Outside Ireland (Number)","2016","Milltown, Kerry","Number","207"
"Birthplace - Outside Ireland (Number)","2016","Milltown, Kildare","Number","22"
"Birthplace - Outside Ireland (Number)","2016","Milltown, Galway","Number","34"
"Birthplace - Outside Ireland (Number)","2016","Miltown Malbay, Clare","Number","117"
"Birthplace - Outside Ireland (Number)","2016","Mín Lárach, Donegal","Number","73"
"Birthplace - Outside Ireland (Number)","2016","Mitchelstown, Cork","Number","613"
"Birthplace - Outside Ireland (Number)","2016","Moate, Westmeath","Number","454"
"Birthplace - Outside Ireland (Number)","2016","Model Village (Dripsey), Cork","Number","34"
"Birthplace - Outside Ireland (Number)","2016","Mogeely, Cork","Number","53"
"Birthplace - Outside Ireland (Number)","2016","Mohill, Leitrim","Number","140"
"Birthplace - Outside Ireland (Number)","2016","Monaghan, Monaghan","Number","2840"
"Birthplace - Outside Ireland (Number)","2016","Monard, South Tipperary","Number","31"
"Birthplace - Outside Ireland (Number)","2016","Monasterevin, Kildare","Number","616"
"Birthplace - Outside Ireland (Number)","2016","Moneenroe, Kilkenny","Number","72"
"Birthplace - Outside Ireland (Number)","2016","Moneygall, Offaly","Number","18"
"Birthplace - Outside Ireland (Number)","2016","Monivea, Galway","Number","29"
"Birthplace - Outside Ireland (Number)","2016","Mooncoin, Kilkenny","Number","122"
"Birthplace - Outside Ireland (Number)","2016","Moroe, Limerick","Number","198"
"Birthplace - Outside Ireland (Number)","2016","Mount Bellew, Galway","Number","129"
"Birthplace - Outside Ireland (Number)","2016","Mountcharles, Donegal","Number","96"
"Birthplace - Outside Ireland (Number)","2016","Mountcollins, Limerick","Number","26"
"Birthplace - Outside Ireland (Number)","2016","Mountmellick, Laois","Number","531"
"Birthplace - Outside Ireland (Number)","2016","Mountshannon, Clare","Number","39"
"Birthplace - Outside Ireland (Number)","2016","Mountrath, Laois","Number","280"
"Birthplace - Outside Ireland (Number)","2016","Moville, Donegal","Number","439"
"Birthplace - Outside Ireland (Number)","2016","Moylough, Galway","Number","67"
"Birthplace - Outside Ireland (Number)","2016","Mucklagh, Offaly","Number","63"
"Birthplace - Outside Ireland (Number)","2016","Muff, Donegal","Number","767"
"Birthplace - Outside Ireland (Number)","2016","Muinebeag (Bagenalstown), Carlow","Number","401"
"Birthplace - Outside Ireland (Number)","2016","Mullagh, Cavan","Number","216"
"Birthplace - Outside Ireland (Number)","2016","Mullaghmore, Sligo","Number","32"
"Birthplace - Outside Ireland (Number)","2016","Mullinahone, South Tipperary","Number","53"
"Birthplace - Outside Ireland (Number)","2016","Mullinavat, Kilkenny","Number","19"
"Birthplace - Outside Ireland (Number)","2016","Mullingar, Westmeath","Number","4791"
"Birthplace - Outside Ireland (Number)","2016","Mulranny, Mayo","Number","73"
"Birthplace - Outside Ireland (Number)","2016","Multyfarnham, Westmeath","Number","76"
"Birthplace - Outside Ireland (Number)","2016","Mungret, Limerick","Number","19"
"Birthplace - Outside Ireland (Number)","2016","Murntown, Wexford","Number","45"
"Birthplace - Outside Ireland (Number)","2016","Myshall, Carlow","Number","39"
"Birthplace - Outside Ireland (Number)","2016","Naas, Kildare","Number","4875"
"Birthplace - Outside Ireland (Number)","2016","Na Forbacha, Galway","Number","86"
"Birthplace - Outside Ireland (Number)","2016","Narraghmore, Kildare","Number","40"
"Birthplace - Outside Ireland (Number)","2016","Naul, Fingal","Number","55"
"Birthplace - Outside Ireland (Number)","2016","Navan (An Uaimh), Meath","Number","7154"
"Birthplace - Outside Ireland (Number)","2016","Nenagh, Tipperary","Number","2117"
"Birthplace - Outside Ireland (Number)","2016","Newbawn, Wexford","Number","14"
"Birthplace - Outside Ireland (Number)","2016","Newbliss, Monaghan","Number","46"
"Birthplace - Outside Ireland (Number)","2016","Newcastle, South Dublin","Number","541"
"Birthplace - Outside Ireland (Number)","2016","Newcastle, South Tipperary","Number","50"
"Birthplace - Outside Ireland (Number)","2016","Newcastle, Wicklow","Number","144"
"Birthplace - Outside Ireland (Number)","2016","Newcastle West, Limerick","Number","1709"
"Birthplace - Outside Ireland (Number)","2016","Newmarket, Cork","Number","87"
"Birthplace - Outside Ireland (Number)","2016","Newmarket-on-Fergus, Clare","Number","219"
"Birthplace - Outside Ireland (Number)","2016","Newport, Mayo","Number","120"
"Birthplace - Outside Ireland (Number)","2016","Newport, North Tipperary","Number","225"
"Birthplace - Outside Ireland (Number)","2016","New Ross, Wexford","Number","1797"
"Birthplace - Outside Ireland (Number)","2016","Newtown, Cork","Number","34"
"Birthplace - Outside Ireland (Number)","2016","Newtown, Laois","Number","38"
"Birthplace - Outside Ireland (Number)","2016","Newtown, North Tipperary","Number","46"
"Birthplace - Outside Ireland (Number)","2016","Newtowncunningham, Donegal","Number","323"
"Birthplace - Outside Ireland (Number)","2016","Newtownforbes, Longford","Number","147"
"Birthplace - Outside Ireland (Number)","2016","Newtownmountkennedy, Wicklow","Number","451"
"Birthplace - Outside Ireland (Number)","2016","Newtownsandes, Kerry","Number","30"
"Birthplace - Outside Ireland (Number)","2016","New Twopothouse, Cork","Number","19"
"Birthplace - Outside Ireland (Number)","2016","Nobber, Meath","Number","67"
"Birthplace - Outside Ireland (Number)","2016","Nurney, Kildare","Number","34"
"Birthplace - Outside Ireland (Number)","2016","O'Briensbridge-Montpelier, Clare and Limerick","Number","41"
"Birthplace - Outside Ireland (Number)","2016","Oilgate, Wexford","Number","29"
"Birthplace - Outside Ireland (Number)","2016","Oldcastle, Meath","Number","416"
"Birthplace - Outside Ireland (Number)","2016","Oldtown, Fingal","Number","56"
"Birthplace - Outside Ireland (Number)","2016","Omeath, Louth","Number","274"
"Birthplace - Outside Ireland (Number)","2016","Oola, Limerick","Number","24"
"Birthplace - Outside Ireland (Number)","2016","Oram, Monaghan","Number","40"
