Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
15/04/2020,"44 LAUREL WOOD, KILCULLEN, KILDARE",,Kildare,"€272,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/01/2021,"69 RUSHEEN ARD, CALTRAGH, SLIGO",,Sligo,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/07/2019,"5 HEATHER HILL SQUARE, GRAIGUECULLEN, CO. LAOIS",,Laois,"€158,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2014,"59 HIGGINS PK, FAIRGREEN MOUNTMELLICK RD, PORTLAOISE",,Laois,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/06/2018,"Apartment No. 15 Orchard Court, The Orchard, Oldtown Demesne  Osberstown",,Kildare,"€233,480.18",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
01/12/2017,"44 ASHLEY AVE, CHERRYMOUNT, WATERFORD",,Waterford,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2014,"APT 2, 44 WELLINGTON QUAY, DUBLIN 2",Dublin 2,Dublin,"€156,666.00",No,No,Second-Hand Dwelling house /Apartment,
23/10/2015,"12 PORT MOR, AMERICAN ST, BELMULLET",,Mayo,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/06/2018,"58 CROMWELLS FORT GROVE, MULGANNON, WEXFORD",,Wexford,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/11/2016,"SEVEN MOONS CLOONACON, CLONROCHE, WEXFORD",,Wexford,"€167,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2017,"47 ST PATRICKS COURT, CLANBRASSIL ST UPPER, DUBLIN 8",Dublin 8,Dublin,"€255,561.00",No,No,Second-Hand Dwelling house /Apartment,
08/11/2019,"2 OLDCHURCH CLOSE, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/09/2011,"13 Main Street, Belmayne, Balgriffin",,Dublin,"€136,564.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
15/07/2014,"Apt 48 Fionn Uisce, Merlin Wood, Doughiska",,Galway,"€40,100.44",No,No,Second-Hand Dwelling house /Apartment,
08/09/2010,"21 Mount Merrion Avenue, Blackrock",,Dublin,"€1,350,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2015,"BALLINTOTIS, CASTLEMARTYR, CO. CORK",,Cork,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/03/2010,"15 Rinawade Vale, Leixlip",,Kildare,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2019,"50 WOODGROVE HEIGHTS, DUNLEER, LOUTH",,Louth,"€167,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2015,"11 SUNSET DR, BOOLAVOGUE, ENNISCORTHY",,Wexford,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2020,"FLAT 1, 43 RAVENSDALE PARK, KIMMAGE",,Dublin,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2015,"2 The Courtyard, Church Street, Kilcock",,Kildare,"€145,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
28/08/2012,"1 New Terrace, Monaghan",,Monaghan,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/10/2011,"18 Georges Head, Kilkee",,Clare,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/06/2016,"17 AVONMORE DR, TALLAGHT, DUBLIN",Dublin 24,Dublin,"€183,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/05/2012,"103 An Saileachain, Raheen, Athenry",,Galway,"€110,132.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
14/09/2018,"6 FAIRBROOK LAWN, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,"€625,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/02/2020,"CORBANE, ENDRIM, FERBANE",,Offaly,"€197,500.00",No,No,Second-Hand Dwelling house /Apartment,
05/03/2021,"17 FORTFIELD PARK, TERENURE, DUBLIN 6W",,Dublin,"€925,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/03/2014,"10A THE LIME AVE COUNTESS RD, KILLARNEY, KERRY",,Kerry,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/07/2015,"ESKER, TIMAHOE, PORTLAOISE",,Laois,"€47,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2016,"41 diswellstown way, CASTLEKNOCK",Dublin 15,Dublin,"€439,600.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/07/2020,"207 GRACEPARK MANOR, GRACE PARK RD, DRUMCONDRA DUBLIN 9",Dublin 9,Dublin,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2015,"2 Garran Ard, The Walk, Roscommon",,Roscommon,"€107,500.00",No,No,Second-Hand Dwelling house /Apartment,
01/05/2015,"6 MARWOOD CLOSE, GLANMIRE, CORK",,Cork,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2014,"APT 9, LONG QUAY APTS, LONG QUAY",,Cork,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/01/2015,"18 DUN LEINN, OLD MONIVEA ROAD, BALLYBANE",,Galway,"€48,500.00",No,No,Second-Hand Dwelling house /Apartment,
15/02/2018,"ANNAGHERVY, BALLINODE, MONAGHAN",,Monaghan,"€234,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2020,"17 Cooline Heights, Cobh",,Cork,"€203,275.00",No,Yes,New Dwelling house /Apartment,
16/11/2016,"29 ANCHOR MEWS, ARKLOW, WICKLOW",,Wicklow,"€107,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/02/2020,"13 KENNEDY PARK, THURLES, TIPPERARY",,Tipperary,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2021,"2 DALKEY PARK, DALKEY, DUBLIN",,Dublin,"€805,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2013,"AYLROE, KILDYSERT, CLARE",,Clare,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/11/2021,"14 Clos Molua, Sli na Manach, Mungret",,Limerick,"€257,130.59",No,Yes,New Dwelling house /Apartment,
28/10/2016,"RIVERSDALE HOUSE, ST. ANN'S, AILSBURY ROAD  DONNYBROOK",,Dublin,"€1,000,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/07/2019,"CLARE RD, ENNIS, CO CLARE",,Clare,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/04/2013,"Dun Carraig, Ballinacourty, Dungarvan",,Waterford,"€222,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/07/2014,"238 CUSTOM HOUSE HARBOUR, IFSC, DUBLIN 1",Dublin 1,Dublin,"€302,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/08/2016,"GARRYANTANVALLY, LISTOWEL, KERRY",,Kerry,"€189,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/11/2020,"43 DONNYBROOK MANOR, DONNYBROOK, DUBLIN 14",Dublin 4,Dublin,"€723,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/05/2018,"21 MAPLE COURT, PHELIM WOOD, TULLOW",,Carlow,"€137,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/08/2020,"Kiltankin, Kilbehenny, Mitchelstown",,Cork,"€140,000.00",No,No,New Dwelling house /Apartment,
27/04/2016,"40A ROYAL CANAL BANK WEST, KINGS INNS, DUBLIN 7",Dublin 7,Dublin,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2021,"FAIRWAYS, CARRICKBRACK RD, SUTTON",Dublin 13,Dublin,"€1,525,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/08/2013,"42 Meadowbank, Ballinaneeshagh, Waterford",,Waterford,"€57,268.72",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/07/2017,"3 EARLSFORT CLOSE, LUCAN, DUBLIN",,Dublin,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/01/2010,"34 Priory Court, St Raphaels Manor, Celbridge",,Kildare,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/04/2017,"45 Hollywoodrath Crescent, Hollywoodrath, Hollystown",Dublin 15,Dublin,"€315,725.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
11/10/2011,"1 Cnoc Greine, Coolgreaney, Gorey",,Wexford,"€195,500.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/08/2019,"TINNY CROSS, TULLAMORE, OFFALY",,Offaly,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/06/2019,"79 SUMMERHILL, DUBLIN 1, DUBLIN",Dublin 1,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2017,"16 DOMINICS COURT, BANK PLACE, CASHEL",,Tipperary,"€61,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2018,"KILLACULLEEN, TEMPLEGLANTINE, ABBEYFEALE",,Limerick,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/07/2019,"1019 COWPASTURE, MONASTEREVAN, KILDARE",,Kildare,"€239,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/01/2014,"APT 85, 20 CHRISTCHURCH PLACE, DUBLIN 8",,Dublin,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/04/2019,"GAULSTOWN, GLENMORE, CO KILKENNY",,Kilkenny,"€143,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/11/2016,"15 OAK MANOR, BALLACOLLIG, MOUNTMELLICK",,Laois,"€99,500.00",No,No,Second-Hand Dwelling house /Apartment,
23/07/2015,"38 SOUTHVILLE GARDENS, BALLINACURRA, LIMERICK",,Limerick,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/10/2020,"No. 18 The Lawns, Bellingsfield, Kilcullen Road",,Kildare,"€339,207.03",No,Yes,New Dwelling house /Apartment,
16/06/2015,"3 B KERMON HOUSE, THE MALL, DROGHEDA",,Louth,"€51,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/08/2015,"19 THE ORCHARDS, HERONS WOOD, CARRIGALINE",,Cork,"€257,500.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2012,"11 Bayview Drive, Newport",,Mayo,"€45,820.00",Yes,No,Second-Hand Dwelling house /Apartment,
09/04/2018,"8 MILLFIELD, THE LINKS, PORTMARNOCK",Dublin 13,Dublin,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/05/2014,"MULBERRY, HILL RD, STRATFORD ON SLANEY",,Wicklow,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2017,"3 DROMKEEN, ROCKY RD, WICKLOW TOWN",,Wicklow,"€462,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2019,"78 ARD O DONNELL RD, LETTERKENNY, DONEGAL",,Donegal,"€98,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/05/2017,"172 CORRIB RD, TERENURE, DUBLIN 6W",,Dublin,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2018,"TIGRONEY, AVOCA, ARKLOW",,Wicklow,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/04/2016,"BELLANAGARE, CASTLEREA, ROSCOMMON",,Roscommon,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2016,"15 ASHLEY HALL, ST EDMUND'S, PALMERSTOWN",Dublin 20,Dublin,"€191,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/05/2020,"33 COIS ABHAINN, COLLOONEY, SLIGO",,Sligo,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2014,"4 Braemor Grove, Churchtown",Dublin 14,Dublin,"€444,258.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2021,"51 THE CAIRNS, CROSSAKIEL, KELLS",,Meath,"€262,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2017,"LAVEY, CHARLESTOWN, CO MAYO",,Mayo,"€101,500.00",No,No,Second-Hand Dwelling house /Apartment,
13/10/2014,"49A SAINT JAMES AVE, CLONLIFFE ROAD, DUBLIN 3",Dublin 15,Dublin,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2015,"74 IVY EXCHANGE, PARNELL ST, DUBLIN 1",Dublin 1,Dublin,"€187,500.00",No,No,Second-Hand Dwelling house /Apartment,
31/10/2018,"617 CROSS ROADS, KILLALOE, CO CLARE",,Clare,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/06/2019,"200 Dundoogan, Haynestown, Dundalk",,Louth,"€222,995.59",No,Yes,New Dwelling house /Apartment,
23/02/2021,"16 BALLYCLARE COURT, BALLYLEAGUE, ROSCOMMON",,Roscommon,"€138,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/07/2017,"15 LIOS EALTAN, NILE LODGE, LOWER SALTHILL",,Galway,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/07/2014,"SUNNYDALE, O'DWYER SQUARE, TINAHELY",,Wicklow,"€49,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/01/2017,"Apt 6 Diamond Court, Chapel Road, Belturbet",,Cavan,"€10,350.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/12/2013,"3 ATHLUNKARD VILLAS, BISHOP ST, LIMERICK",,Limerick,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/09/2019,"44 CUIL DUIN AVENUE, CUIL DUIN, CITYWEST",Dublin 24,Dublin,"€321,585.00",No,Yes,New Dwelling house /Apartment,
08/11/2011,"DERRYKINLOUGH, KILTIMAGH",,Mayo,"€241,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2010,"Apartment 126, The Belfry  Belarmine, Enniskerry Road",Dublin 18,Dublin,"€184,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/12/2019,"48 The Drive, Semple Woods, Donabate",,Dublin,"€387,665.00",No,Yes,New Dwelling house /Apartment,
16/02/2016,"Meneen, Aughagower, Westport",,Mayo,"€76,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/07/2016,"TORCA, 16 SYCAMORE CLOSE, NEWLANDS",,Wexford,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/03/2020,"65 CASTLEDAWSON, MAYNOOTH, CO. KILDARE",,Kildare,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/08/2021,"NO5 CLOS NA COISTE, DROMOD, CO LEITRIM",,Leitrim,"€112,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/05/2018,"APPT 8, CANNON COURT, BRIDE STREET",,Dublin,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2016,"'SANCTA MARIA', BRIGHTON ROAD, FOXROCK",,Dublin,"€3,150,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/07/2021,"2 PARK VALE, SANDYFORD PARK, DUNDRUM",Dublin 16,Dublin,"€897,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/07/2015,"27 GLEANNRIBH LUSK, DUBLIN",,Dublin,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/05/2020,"18 WATERFIELD, OUGHTERARD, CO GALWAY",,Galway,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/09/2015,"THE BEECHES, FISHERY LANE, NAAS",,Kildare,"€401,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/03/2021,"1 COLLEGE AVENUE, COLLEGE PARK, CALLAN ROAD",,Kilkenny,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/06/2019,"THE FORGE, CASTLE ST, CASTLECONNELL",,Limerick,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/10/2013,"4 The Anchorage, Bettystown, County Meath",,Meath,"€72,500.00",No,No,Second-Hand Dwelling house /Apartment,
18/05/2016,"132 LOWER DRUMCONDRA ROAD, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2016,"14 OLD BRAZIL WAY, KNOCKSEDAN DEMENSE, SWORDS",,Dublin,"€370,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2020,"6 FORGE HILL, ELPHIN ST, STROKESTOWN",,Roscommon,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/01/2018,"41 LOWER LEESON STREET, DUBLIN 2",,Dublin,"€2,020,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/04/2014,"26 TOWN COURT, SHANNON, CO CLARE",,Clare,"€31,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2015,"MOUNTAIN VIEW, BAWNBOY, TRALEE",,Kerry,"€172,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/10/2020,"1 COURT DEVENISH, ATHLONE, WESTMEATH",,Westmeath,"€134,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2013,"8 Applewood, Maryborough Ridge, Douglas",,Cork,"€185,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/01/2020,"627 THE KINGFISHER, JACOBS ISLAND, MAHON",,Cork,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/06/2017,"13 GLENWOOD RD, COOLOCK, DUBLIN",Dublin 5,Dublin,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/11/2015,"18 The Avenue, Robswall, Malahide",,Dublin,"€726,872.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
20/12/2013,"18 STAPOLIN HOUSE, MYRTLE COURT, THE COAST DUBLIN 13",,Dublin,"€82,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/06/2013,"48 River Grove, Glanmire",,Cork,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2018,"14 CHERRYBROOK, FOXBURROW, PORTLAOISE",,Laois,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/04/2014,"Knockmuldowney Lane, Ballisodare",,Sligo,"€216,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2021,"WALTON COTTAGE, BALLYNOCKEN, KILRANE",,Wexford,"€173,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/06/2020,"21 RIVERWOOD DR, CARPENTERSTOWN, CASTLEKNOCK DUBLIN 15",Dublin 15,Dublin,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/01/2010,"11 Dunmore Lawns, Kilnamanagh, Dublin 24",,Dublin,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2011,"2 GLENDHU ROAD, OFF NAVAN ROAD",Dublin 7,Dublin,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2010,"Stookeens, Martinstown, Kilmallock",,Limerick,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/06/2018,"GLENANE BEG, KILLEAGH, CORK",,Cork,"€297,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/11/2018,"75 SAUNDERS LANE, RATHNEW, WICKLOW",,Wicklow,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/10/2021,"51 GREEN VIEW, SEABROOK MANOR, STATION RD",Dublin 13,Dublin,"€148,526.00",No,No,Second-Hand Dwelling house /Apartment,
04/03/2016,"The Thatched Cottage, Laught, Rathcoole  Mallow",,Cork,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2013,"1 Castlefield Grove, Castlefield Manor, Knocklyon",Dublin 16,Dublin,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/01/2018,"3 PROSPECT COTTAGES, EMMET STREET, MALLOW",,Cork,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2020,"2 STONEY HILL, CLAGGAN, CARRIGART",,Donegal,"€158,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2021,"8 CLONRATH AVENUE, SKERRIES ROAD, LUSK",,Dublin,"€422,907.00",No,Yes,New Dwelling house /Apartment,
17/12/2019,"HILLSBROOK HOUSE, KESHCARRIGAN, CO. LEITRIM",,Leitrim,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/08/2019,"CORRISTOONAMORE, BALLINTUBBER, COUNTY ROSCOMMON",,Roscommon,"€124,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/01/2017,"39A BROOK SQ, SOUTH TERRACE, CORK",,Cork,"€164,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/08/2014,"CRANMORE, CARRACASTLE, BALLAGHDERREEN",,Mayo,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/04/2020,"5 The Nurseries, Taney Road, Dundrum",,Dublin,"€700,440.53",No,Yes,New Dwelling house /Apartment,
29/05/2014,"APT 16 ABBEYLANDS, LONGFORD RD, MULLINGAR",,Westmeath,"€32,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2016,"COOLNAHILA, LISNAGRY, COUNTY  LIMERICK",,Limerick,"€97,500.00",No,No,Second-Hand Dwelling house /Apartment,
13/09/2013,"42 St Laurence Park, Drogheda",,Louth,"€37,379.00",Yes,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
13/03/2015,"52 LOMBARD ST WEST, STH CIRCULAR RD, DUBLIN 8",Dublin 8,Dublin,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/10/2012,"151 Dingle Road, Cabra, Dublin 7",,Dublin,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/04/2016,"2 RICHMOND SQUARE, MORNING STAR AVENUE, DUBLIN 7",,Dublin,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/07/2010,"BALLINVOHER, KILWORTH",,Cork,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2021,"5 JOHNS COURT, THE MALL, ROSCREA",,Tipperary,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/05/2015,"3 ESKER FIELDS, DUNLO, BALLINASLOE",,Galway,"€66,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/11/2012,"25 Aylesbury, Freshford Road, Kilkenny",,Kilkenny,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/05/2016,"21 THE HIOLLYS, BRIDGEMOUNT, CARRIGALINE",,Cork,"€232,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2021,"6 Errew Drive, Lough Rynn, Mohill",,Leitrim,"€135,000.00",No,Yes,New Dwelling house /Apartment,
22/12/2014,"67 SEVILLE PLACE, DUBLIN 1",,Dublin,"€274,799.00",No,No,Second-Hand Dwelling house /Apartment,
16/02/2017,"ALLENWOOD NORTH, KILDARE",,Kildare,"€210,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
06/09/2018,"3 CALDRAGH CRESCENT, ATTIRORY, CARRICK ON SHANNON",,Leitrim,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2021,"22 MOUNT SYMON RISE, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2016,"21 Units, CLOVER COURT RETIREMENT VILLAGE, Shinrone  CO OFFALY",,Offaly,"€834,437.00",No,No,Second-Hand Dwelling house /Apartment,
09/09/2012,"9 Kings Square, Mitchelstown",,Cork,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2012,"45 Windmill Road, Drogheda",,Louth,"€47,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/03/2013,"12 kingston walk, ballinteer, dublin 16",,Dublin,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/05/2017,"54 Park Gate, Tullow",,Carlow,"€211,454.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
12/08/2011,"Eglington House, 75 Eglington Road, Donnybrook",Dublin 4,Dublin,"€1,350,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2014,"43 WALSH RD, DRUMCONDRA, DUBLIN 9",,Dublin,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/04/2019,"4 SANDYMOUNT AVE, GLASHEEN RD, CORK",,Cork,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2017,"APT 5 AYRFIELD MANOR, CIRCULAR RD, CARRICK ON SHANNON",,Leitrim,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/02/2021,"6 GLEANN NA GREINE, NAAS, CO. KILDARE",,Kildare,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2017,"27 TEMPLE VIEW AVE, CLARE HALL, BALGRIFFIN DUBLIN 13",Dublin 13,Dublin,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2011,"5 Glenbourne Walk, Leopardstown",,Dublin,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2016,"CHURCH RD, BUNCLODY, CO WEXFORD",,Wexford,"€68,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/10/2019,"92 CLONARD RD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/03/2019,"BRENTER, DUNKINEELY, CO DONEGAL",,Donegal,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/07/2014,"58 Cedar Grove, Forrest Road, Swords",,Dublin,"€281,497.79",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
07/02/2019,"9 WOODLAWN, OLD SCHOOL RD, WATERGRASSHILL",,Cork,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/11/2018,"CURRY, CUMMER, COROFIN",,Galway,"€272,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/06/2017,"16A RED ABBEY COURT, ABBEY COURT, CORK",,Cork,"€147,500.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2019,"23 SORREL HEATH, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,"€395,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2021,"47 ATH LETHAN, RACECOURSE RD, DUNDALK",,Louth,"€213,500.00",No,No,Second-Hand Dwelling house /Apartment,
05/12/2019,"13  14  64  65 66 67 68 and 69, Coill An Ri, Kingscourt Road",,Monaghan,"€1,580,736.70",Yes,Yes,New Dwelling house /Apartment,
15/09/2010,"Cherrygarth, Portlaoise",,Laois,"€150,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
17/12/2021,"38 ARD DUN, KINGSCOURT, CO CAVAN",,Cavan,"€128,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/10/2011,"Knockadalteen, Ballymote, County Sligo",,Sligo,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/08/2021,"59 COIS TEAMPAIL, FOYNES RD, NEWCASTLE WEST",,Limerick,"€123,251.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2015,"27 COOLCORMACK VALLEY, DUNGARVAN, WATERFORD",,Waterford,"€126,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2016,"41 THE LAWN, COLLEGE WOOD, MALLOW",,Cork,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/06/2015,"174 HUNTSTOWN WOOD, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/12/2011,"Clonfert Avenue, Portumna",,Galway,"€22,000.00",No,No,Second-Hand Dwelling house /Apartment,
